timestamp,level,message
2026-04-21T21:32:33.250132,INFO,[validation_signal] day=10;phase=consolidacao;approved=2;rejected=14;against_trend=0;weak_score=12;feed_unreliable=8;context=NEUTRO;context_blocked=0
2026-04-21T21:32:33.279307,WARNING,Email final da validacao swing nao enviado: smtp_not_configured
2026-04-21T21:37:08.043783,INFO,Worker 24h iniciado
2026-04-21T21:37:08.993677,INFO,Entradas bloqueadas por limite de perda diaria
2026-04-21T21:37:09.065632,INFO,[cycle_health] health_level=healthy;feed_status=live;broker_status=paper;worker_status=online;consecutive_errors=0;fallback=0
2026-04-21T21:37:09.195304,INFO,[validation_signal] day=10;phase=consolidacao;approved=2;rejected=14;against_trend=0;weak_score=12;feed_unreliable=8;context=NEUTRO;context_blocked=0
2026-04-21T21:37:09.228802,WARNING,Email final da validacao swing nao enviado: smtp_not_configured
2026-04-21T21:38:09.474398,INFO,Entradas bloqueadas por limite de perda diaria
2026-04-21T21:38:09.526770,INFO,[cycle_health] health_level=healthy;feed_status=live;broker_status=paper;worker_status=online;consecutive_errors=0;fallback=0
2026-04-21T21:38:09.660126,INFO,[validation_signal] day=10;phase=consolidacao;approved=2;rejected=14;against_trend=0;weak_score=12;feed_unreliable=8;context=NEUTRO;context_blocked=0
2026-04-21T21:38:09.693252,WARNING,Email final da validacao swing nao enviado: smtp_not_configured
2026-04-21T21:39:09.920614,INFO,Entradas bloqueadas por limite de perda diaria
2026-04-21T21:39:09.971167,INFO,[cycle_health] health_level=healthy;feed_status=live;broker_status=paper;worker_status=online;consecutive_errors=0;fallback=0
2026-04-21T21:39:10.104965,INFO,[validation_signal] day=10;phase=consolidacao;approved=2;rejected=14;against_trend=0;weak_score=12;feed_unreliable=8;context=NEUTRO;context_blocked=0
2026-04-21T21:39:10.137919,WARNING,Email final da validacao swing nao enviado: smtp_not_configured
2026-04-21T21:40:10.368154,INFO,Entradas bloqueadas por limite de perda diaria
2026-04-21T21:40:10.432653,INFO,[cycle_health] health_level=healthy;feed_status=live;broker_status=paper;worker_status=online;consecutive_errors=0;fallback=0
2026-04-21T21:40:10.550895,INFO,[validation_signal] day=10;phase=consolidacao;approved=2;rejected=14;against_trend=0;weak_score=12;feed_unreliable=8;context=NEUTRO;context_blocked=0
2026-04-21T21:40:10.583744,WARNING,Email final da validacao swing nao enviado: smtp_not_configured
2026-04-21T21:41:10.836997,INFO,Entradas bloqueadas por limite de perda diaria
2026-04-21T21:41:10.904884,INFO,[cycle_health] health_level=healthy;feed_status=live;broker_status=paper;worker_status=online;consecutive_errors=0;fallback=0
2026-04-21T21:41:11.036639,INFO,[validation_signal] day=10;phase=consolidacao;approved=2;rejected=14;against_trend=0;weak_score=12;feed_unreliable=8;context=NEUTRO;context_blocked=0
2026-04-21T21:41:11.069241,WARNING,Email final da validacao swing nao enviado: smtp_not_configured
2026-04-21T21:42:11.576869,INFO,Entradas bloqueadas por limite de perda diaria
2026-04-21T21:42:11.643130,INFO,[cycle_health] health_level=healthy;feed_status=live;broker_status=paper;worker_status=online;consecutive_errors=0;fallback=0
2026-04-21T21:42:11.762043,INFO,[validation_signal] day=10;phase=consolidacao;approved=2;rejected=14;against_trend=0;weak_score=12;feed_unreliable=8;context=NEUTRO;context_blocked=0
2026-04-21T21:42:11.795471,WARNING,Email final da validacao swing nao enviado: smtp_not_configured
2026-04-21T21:55:14.142829,INFO,Worker 24h iniciado
2026-04-21T21:55:15.759101,INFO,Trava diaria liberada. Novas entradas permitidas novamente.
2026-04-21T21:55:15.797036,INFO,Entradas bloqueadas por limite de perda diaria
2026-04-21T21:55:15.859161,INFO,[cycle_health] health_level=healthy;feed_status=live;broker_status=paper;worker_status=online;consecutive_errors=0;fallback=0
2026-04-21T21:55:16.009341,INFO,[validation_signal] day=10;phase=consolidacao;approved=2;rejected=14;against_trend=0;weak_score=12;feed_unreliable=8;context=FAVORAVEL;context_blocked=0
2026-04-21T21:55:16.042556,WARNING,Email final da validacao swing nao enviado: smtp_not_configured
2026-04-21T21:56:16.739911,INFO,Rodada concluida sem novas operacoes
2026-04-21T21:56:16.808072,INFO,[cycle_health] health_level=healthy;feed_status=live;broker_status=paper;worker_status=online;consecutive_errors=0;fallback=0
2026-04-21T21:56:16.938856,INFO,[validation_signal] day=10;phase=consolidacao;approved=2;rejected=14;against_trend=0;weak_score=12;feed_unreliable=8;context=NEUTRO;context_blocked=0
2026-04-21T21:56:16.956759,WARNING,Email final da validacao swing nao enviado: smtp_not_configured
2026-04-21T21:57:17.203412,INFO,Rodada concluida sem novas operacoes
2026-04-21T21:57:17.254047,INFO,[cycle_health] health_level=healthy;feed_status=live;broker_status=paper;worker_status=online;consecutive_errors=0;fallback=0
2026-04-21T21:57:17.386554,INFO,[validation_signal] day=10;phase=consolidacao;approved=2;rejected=14;against_trend=0;weak_score=12;feed_unreliable=8;context=NEUTRO;context_blocked=0
2026-04-21T21:57:17.420734,WARNING,Email final da validacao swing nao enviado: smtp_not_configured
2026-04-21T21:58:17.649054,INFO,Rodada concluida sem novas operacoes
2026-04-21T21:58:17.698867,INFO,[cycle_health] health_level=healthy;feed_status=live;broker_status=paper;worker_status=online;consecutive_errors=0;fallback=0
2026-04-21T21:58:17.841015,INFO,[validation_signal] day=10;phase=consolidacao;approved=2;rejected=14;against_trend=0;weak_score=12;feed_unreliable=8;context=NEUTRO;context_blocked=0
2026-04-21T21:58:17.865795,WARNING,Email final da validacao swing nao enviado: smtp_not_configured
2026-04-21T21:59:18.095154,INFO,Rodada concluida sem novas operacoes
